Subject,FilmTV_ii,Name,Age,Sex,condition,FreqTrialStim.RESP,meanAttractiveness,zFreq,meanFreq
103,0,Poorna Jagannathan,20,0,1,3,6.793103448,2,3
103,0,Natasha Henstridge,20,0,1,3,6.133333333,2,3
103,0,Peggy Lipton,20,0,1,3,5.4,2,3
103,0,Jon Polito,20,0,1,3,3.866666667,2,3
103,0,Natasha Lyonne,20,0,1,3,5.833333333,2,3
103,0,Elden Henson,20,0,1,3,4.2,2,3
103,0,Erin Moriarty,20,0,1,3,7.275862069,2,3
103,0,Manu Bennett,20,0,1,3,6.103448276,2,3
103,0,Cara Buono,20,0,1,3,6.166666667,2,3
103,0,Sarah Hyland,20,0,1,3,7.833333333,2,3
103,0,Amara Karan,20,0,1,3,6.033333333,2,3
103,0,Analeigh Tipton,20,0,1,3,6.566666667,2,3
103,0,Sasha Pieterse,20,0,1,3,7.033333333,2,3
103,0,Lara Pulver,20,0,1,3,5.8,2,3
103,0,Jennifer Coolidge,20,0,1,3,4.633333333,2,3
103,0,Rhona Mitra,20,0,1,3,5.966666667,2,3
103,0,Eliza Dushku,20,0,1,3,6.466666667,2,3
103,0,Cameron Monaghan,20,0,1,3,4.6,2,3
103,0,Kevin Durand,20,0,1,3,4.833333333,2,3
103,0,Sara Ramirez,20,0,1,3,6.666666667,2,3
103,0,Bailee Madison,20,0,1,3,6.933333333,2,3
103,0,Mae Whitman,20,0,1,3,6.033333333,2,3
103,0,Johanna Braddy,20,0,1,3,7.066666667,2,3
103,0,Carice van Houten,20,0,1,3,6.2,2,3
103,0,Ashley Johnson,20,0,1,3,5.965517241,2,3
103,1,Herizen F. Guardiola,20,0,1,3,7.793103448,2.043022488,3.12
103,1,Lori Petty,20,0,1,3,5.068965517,2.043022488,3.12
103,1,Hayden Panettiere,20,0,1,3,7.24137931,2.043022488,3.12
103,1,Amanda Schull,20,0,1,3,6.833333333,2.043022488,3.12
103,1,Jena Malone,20,0,1,3,5.633333333,2.043022488,3.12
103,1,Tim Curry,20,0,1,3,3.733333333,2.043022488,3.12
103,1,Alycia Debnam-Carey,20,0,1,3,6.433333333,2.043022488,3.12
103,1,Jeannie Berlin,20,0,1,3,4,2.043022488,3.12
103,1,Gina Carano,20,0,1,4,6.566666667,2.043022488,3.12
103,1,Katheryn Winnick,20,0,1,3,6.4,2.043022488,3.12
103,1,Emily Hampshire,20,0,1,3,6.266666667,2.043022488,3.12
103,1,Adrianne Palicki,20,0,1,3,7.166666667,2.043022488,3.12
103,1,Jean-Claude Van Damme,20,0,1,3,4.689655172,2.043022488,3.12
103,1,Yvonne Strahovski,20,0,1,3,7,2.043022488,3.12
103,1,Cameron Diaz,20,0,1,4,6.931034483,2.043022488,3.12
103,1,Angourie Rice,20,0,1,3,6.266666667,2.043022488,3.12
103,1,Kat Dennings,20,0,1,3,7.166666667,2.043022488,3.12
103,1,Joey King,20,0,1,4,6.233333333,2.043022488,3.12
103,1,Carrie-Anne Moss,20,0,1,3,5.766666667,2.043022488,3.12
103,1,AnnaSophia Robb,20,0,1,3,7.733333333,2.043022488,3.12
103,1,Taryn Manning,20,0,1,3,5.666666667,2.043022488,3.12
103,1,Aidan Turner,20,0,1,3,6.533333333,2.043022488,3.12
103,1,Jennifer Love Hewitt,20,0,1,3,6.966666667,2.043022488,3.12
103,1,Evangeline Lilly,20,0,1,3,6.8,2.043022488,3.12
103,1,Portia Doubleday,20,0,1,3,6.4,2.043022488,3.12
103,10,Dakota Johnson,20,0,1,3,7.033333333,2.430224881,3.307692308
103,10,Zendaya,20,0,1,7,8.1,2.430224881,3.307692308
103,10,Mel Brooks,20,0,1,3,3.433333333,2.430224881,3.307692308
103,10,John Turturro,20,0,1,3,4.2,2.430224881,3.307692308
103,10,Dakota Fanning,20,0,1,3,6.9,2.430224881,3.307692308
103,10,Mila Kunis,20,0,1,3,8.133333333,2.430224881,3.307692308
103,10,Jared Leto,20,0,1,3,6.1,2.430224881,3.307692308
103,10,Luke Evans,20,0,1,3,6.8,2.430224881,3.307692308
103,10,Walton Goggins,20,0,1,3,4.6,2.430224881,3.307692308
103,10,Emmy Rossum,20,0,1,3,7,2.430224881,3.307692308
103,10,Jason Statham,20,0,1,3,5.833333333,2.430224881,3.307692308
103,10,Rosamund Pike,20,0,1,3,6.533333333,2.430224881,3.307692308
103,10,Jason Momoa,20,0,1,3,6.785714286,2.430224881,3.307692308
103,11,Milla Jovovich,20,0,1,3,5.866666667,2.47324737,3.25
103,11,Kate Mara,20,0,1,3,7.233333333,2.47324737,3.25
103,11,Rose Byrne,20,0,1,3,7.266666667,2.47324737,3.25
103,11,Teresa Palmer,20,0,1,4,7.2,2.47324737,3.25
103,12,Kathryn Hahn,20,0,1,3,6.233333333,2.516269858,3
103,12,Renee Zellweger,20,0,1,3,5.5,2.516269858,3
103,12,Ben Foster,20,0,1,3,5.966666667,2.516269858,3
103,12,Rachel McAdams,20,0,1,3,7.5,2.516269858,3
103,12,Paul Rudd,20,0,1,3,6.6,2.516269858,3
103,12,Natalie Dormer,20,0,1,3,6.666666667,2.516269858,3
103,13,Eva Green,20,0,1,3,5.206896552,2.559292346,4.2
103,13,Norman Reedus,20,0,1,3,4.266666667,2.559292346,4.2
103,13,Channing Tatum,20,0,1,9,7.833333333,2.559292346,4.2
103,13,Patrick Wilson,20,0,1,3,6.033333333,2.559292346,4.2
103,13,Henry Cavill,20,0,1,3,7.133333333,2.559292346,4.2
103,14,Shailene Woodley,20,0,1,NA,7.24137931,2.602314834,3.5
103,14,Aaron Paul,20,0,1,3,5.966666667,2.602314834,3.5
103,14,Lauren Graham,20,0,1,3,6.1,2.602314834,3.5
103,14,John Krasinski,20,0,1,6,7.1,2.602314834,3.5
103,14,Gerard Butler,20,0,1,3,6.133333333,2.602314834,3.5
